throughput,workload,config_id
725.38252407241,tpcc-2,74
13017.0877945276,smallbank-10,74
24607.3255554986,ycsb-600,74
632.5134417758,tpcc-8,74
20417.4161052871,smallbank-1,74
30212.1792224628,voter-16,74
30048.483289763,voter-2,74
706.041774024965,tpcc-2,75
12570.1044754118,smallbank-10,75
14130.5775684294,ycsb-2400,75
29501.9499326372,voter-16,75
28640.0999451065,voter-2,75
22590.9109375738,ycsb-600,75
609.793296593107,tpcc-8,75
17799.8532565972,smallbank-1,75
22758.9225192087,ycsb-600,76
18654.1967526898,smallbank-1,76
604.456937216988,tpcc-8,76
29997.4499220066,voter-16,76
28836.3833016133,voter-2,76
15256.4662867693,ycsb-2400,76
719.064304025099,tpcc-2,76
12392.3786846656,smallbank-10,76
18392.9140859184,smallbank-10,78
872.414057625186,tpcc-2,78
18292.6282847691,ycsb-2400,78
46597.0166596771,voter-2,78
46640.4665298546,voter-16,78
25824.7833593241,smallbank-1,78
986.850872332273,tpcc-8,78
25638.9984395111,ycsb-600,78
18780.9476318777,smallbank-10,80
920.860180925631,tpcc-2,80
20462.9756713906,ycsb-2400,80
47597.4496565051,voter-2,80
47479.4665218543,voter-16,80
26683.3391047944,smallbank-1,80
1057.12030647503,tpcc-8,80
27438.5269699766,ycsb-600,80
13940.2198152519,ycsb-2400,81
12310.5098334823,smallbank-10,81
684.632172607948,tpcc-2,81
19019.9835426608,smallbank-1,81
605.508320945479,tpcc-8,81
21893.0544018913,ycsb-600,81
28257.1666553638,voter-2,81
29673.5331686452,voter-16,81
28652.6499484252,voter-2,82
29196.0499343089,voter-16,82
608.873242872847,tpcc-8,82
18416.319432182,smallbank-1,82
22297.8181043635,ycsb-600,82
12517.1513291925,smallbank-10,82
687.732264815176,tpcc-2,82
14653.3158371856,ycsb-2400,82
577.175380626155,tpcc-8,83
17830.5479862729,smallbank-1,83
20909.1878446043,ycsb-600,83
26039.3999691867,voter-2,83
26247.0833044615,voter-16,83
14456.457653479,ycsb-2400,83
11794.807449825,smallbank-10,83
672.620424065844,tpcc-2,83
46527.5496285551,voter-16,84
47075.8165560385,voter-2,84
25720.6243848151,ycsb-600,84
25831.3765799507,smallbank-1,84
990.075581058035,tpcc-8,84
877.719730944946,tpcc-2,84
18289.872019752,smallbank-10,84
19070.919438715,ycsb-2400,84
22085.5998208754,ycsb-600,85
19516.2834784406,smallbank-1,85
603.163254089608,tpcc-8,85
28874.8665785983,voter-16,85
28449.5333210052,voter-2,85
14445.7824547371,ycsb-2400,85
682.131870637963,tpcc-2,85
12465.9545575296,smallbank-10,85
886.794053661593,tpcc-2,86
18374.2636145477,smallbank-10,86
17756.3554528003,ycsb-2400,86
47621.8832936484,voter-16,86
47917.166582013,voter-2,86
25164.7547267618,ycsb-600,86
339.297776666494,tpcc-8,86
25464.8069001014,smallbank-1,86
14818.5495613649,ycsb-2400,87
726.412875626831,tpcc-2,87
12788.1993657249,smallbank-10,87
24038.6602266591,ycsb-600,87
549.745692064483,tpcc-8,87
18243.3373183059,smallbank-1,87
30204.2832875235,voter-16,87
30011.266654162,voter-2,87
590.340668376826,tpcc-8,88
19198.431176167,smallbank-1,88
22421.397402883,ycsb-600,88
29217.4166033623,voter-2,88
28854.416494502,voter-16,88
13990.5696351008,ycsb-2400,88
12418.1122438914,smallbank-10,88
691.615682751143,tpcc-2,88
28384.7165985433,voter-2,89
29856.8666253647,voter-16,89
623.599187003347,tpcc-8,89
20523.9203462519,smallbank-1,89
21879.6118300326,ycsb-600,89
13062.5621690598,smallbank-10,89
770.306411808498,tpcc-2,89
15078.7376697608,ycsb-2400,89
20621.4744017635,ycsb-2400,90
18852.03773914,smallbank-10,90
925.844720262468,tpcc-2,90
26235.1939689222,smallbank-1,90
1024.64968056546,tpcc-8,90
28234.6872236621,ycsb-600,90
47592.4163121032,voter-2,90
47564.7163931695,voter-16,90
11618.0673119549,smallbank-10,91
705.725916495052,tpcc-2,91
13650.0644942381,ycsb-2400,91
28507.3833124279,voter-2,91
30746.5666220841,voter-16,91
19054.4655501314,smallbank-1,91
592.075028000878,tpcc-8,91
22221.7631907343,ycsb-600,91
494.446267515775,tpcc-8,92
25388.3544533932,smallbank-1,92
24913.0155235348,ycsb-600,92
46120.4999938506,voter-2,92
48043.3832364458,voter-16,92
19642.0298066836,ycsb-2400,92
18154.4392326606,smallbank-10,92
885.410227963489,tpcc-2,92
48225.4498569312,voter-2,93
48178.6798323493,voter-16,93
1037.47872589031,tpcc-8,93
26024.1432863884,smallbank-1,93
28451.5703852901,ycsb-600,93
18528.5035264986,smallbank-10,93
915.282244513575,tpcc-2,93
