config_id,workload,time,max-resident-set-size
2001,blue_sky_1080p25_short.y4m,2.76,251844.0
219,blue_sky_1080p25_short.y4m,1.81,417568.0
1492,sd_city_4cif_short.y4m,6.28,63220.0
941,pedestrian_area_1080p25_short.y4m,34.47,392300.0
2430,sintel_trailer_2k_720p24_short.y4m,0.42,92444.0
1494,sd_city_4cif_short.y4m,0.77,146960.0
397,pedestrian_area_1080p25_short.y4m,1.39,225880.0
1164,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.54,355528.0
2480,sd_city_4cif_short.y4m,0.55,41020.0
378,riverbed_1080p25_short.y4m,30.79,248532.0
2653,Johnny_1280x720_60_short.y4m,1.21,80096.0
2939,sintel_trailer_2k_720p24_short.y4m,2.51,124948.0
1860,sd_bridge_close_cif_short.y4m,0.83,11492.0
821,sd_bridge_close_cif_short.y4m,0.67,15280.0
302,sd_city_4cif_short.y4m,1.21,79420.0
2067,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,40.97,898756.0
995,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,49.51,1106564.0
1979,sintel_trailer_2k_720p24_short.y4m,2.38,128500.0
2003,pedestrian_area_1080p25_short.y4m,16.35,249268.0
1830,sd_crew_cif_short.y4m,0.27,23296.0
794,sintel_trailer_2k_720p24_short.y4m,0.4,126828.0
2575,sintel_trailer_2k_720p24_short.y4m,0.42,81316.0
1219,riverbed_1080p25_short.y4m,38.78,113724.0
3040,blue_sky_1080p25_short.y4m,1.21,157808.0
1660,sd_bridge_close_cif_short.y4m,0.15,10640.0
2939,blue_sky_1080p25_short.y4m,18.15,253916.0
1611,sd_city_4cif_short.y4m,6.08,159676.0
2026,sd_city_4cif_short.y4m,5.28,58028.0
192,blue_sky_1080p25_short.y4m,2.87,396856.0
1493,pedestrian_area_1080p25_short.y4m,25.39,420540.0
115,sd_crew_cif_short.y4m,0.24,22392.0
2012,sd_crew_cif_short.y4m,0.19,27468.0
2755,sd_bridge_close_cif_short.y4m,0.19,23076.0
838,sd_crew_cif_short.y4m,1.02,15400.0
1288,sintel_trailer_2k_720p24_short.y4m,2.19,78716.0
1962,Johnny_1280x720_60_short.y4m,1.21,338844.0
1658,blue_sky_1080p25_short.y4m,2.71,252564.0
1151,sd_city_4cif_short.y4m,4.9,58680.0
2751,riverbed_1080p25_short.y4m,2.99,143960.0
353,sd_city_4cif_short.y4m,0.83,86604.0
1296,sd_bridge_close_cif_short.y4m,0.99,14196.0
1893,sintel_trailer_2k_720p24_short.y4m,2.66,126012.0
1942,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,35.67,574512.0
2786,Johnny_1280x720_60_short.y4m,1.05,326920.0
2539,Johnny_1280x720_60_short.y4m,32.7,92308.0
2977,sd_bridge_close_cif_short.y4m,1.14,16832.0
1322,sintel_trailer_2k_720p24_short.y4m,2.26,118488.0
2478,sd_bridge_close_cif_short.y4m,0.1,22244.0
2318,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,5.27,702588.0
612,sd_city_4cif_short.y4m,6.93,158128.0
1366,sd_bridge_close_cif_short.y4m,1.67,26856.0
2550,blue_sky_1080p25_short.y4m,2.88,251840.0
499,sd_city_4cif_short.y4m,10.39,42408.0
3040,pedestrian_area_1080p25_short.y4m,1.49,159700.0
2026,sintel_trailer_2k_720p24_short.y4m,2.07,121116.0
2607,riverbed_1080p25_short.y4m,36.06,395712.0
2037,sd_bridge_close_cif_short.y4m,0.76,25072.0
2816,pedestrian_area_1080p25_short.y4m,16.68,154752.0
1257,sd_crew_cif_short.y4m,1.4,25228.0
2118,riverbed_1080p25_short.y4m,40.62,159128.0
2447,pedestrian_area_1080p25_short.y4m,31.67,157084.0
1472,riverbed_1080p25_short.y4m,50.72,157080.0
2940,sd_city_4cif_short.y4m,0.85,86600.0
2947,sintel_trailer_2k_720p24_short.y4m,2.3,131428.0
683,sd_bridge_close_cif_short.y4m,0.17,23064.0
3023,sd_city_4cif_short.y4m,1.28,81036.0
728,sd_crew_cif_short.y4m,1.92,13052.0
333,Johnny_1280x720_60_short.y4m,2.0,193712.0
2500,sd_city_4cif_short.y4m,12.04,42412.0
2932,sd_bridge_close_cif_short.y4m,0.99,21716.0
3024,Johnny_1280x720_60_short.y4m,11.28,119892.0
650,sintel_trailer_2k_720p24_short.y4m,1.99,119800.0
2954,blue_sky_1080p25_short.y4m,12.61,157864.0
2087,sintel_trailer_2k_720p24_short.y4m,0.24,128228.0
2807,sd_crew_cif_short.y4m,1.41,21232.0
417,sd_bridge_close_cif_short.y4m,1.15,13072.0
1041,sintel_trailer_2k_720p24_short.y4m,0.29,135360.0
473,riverbed_1080p25_short.y4m,27.62,226436.0
2163,riverbed_1080p25_short.y4m,6.5,396944.0
666,sd_bridge_close_cif_short.y4m,0.67,15388.0
2576,sd_city_4cif_short.y4m,0.7,85036.0
213,sd_crew_cif_short.y4m,0.27,27464.0
692,Johnny_1280x720_60_short.y4m,11.54,126188.0
2609,riverbed_1080p25_short.y4m,6.84,113088.0
342,blue_sky_1080p25_short.y4m,1.74,264568.0
172,sd_city_4cif_short.y4m,1.35,80996.0
1712,sd_bridge_close_cif_short.y4m,0.14,10676.0
1132,pedestrian_area_1080p25_short.y4m,3.31,370108.0
1653,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,6.73,574728.0
831,sd_city_4cif_short.y4m,0.62,140508.0
2272,pedestrian_area_1080p25_short.y4m,23.17,264724.0
712,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,4.11,753816.0
2755,blue_sky_1080p25_short.y4m,2.93,250764.0
3059,sd_city_4cif_short.y4m,16.59,80844.0
95,sd_city_4cif_short.y4m,1.38,81032.0
3000,pedestrian_area_1080p25_short.y4m,13.73,225892.0
2690,sintel_trailer_2k_720p24_short.y4m,0.32,210524.0
1548,Johnny_1280x720_60_short.y4m,9.58,50556.0
1552,sd_crew_cif_short.y4m,1.58,21912.0
705,sd_city_4cif_short.y4m,8.12,164036.0
1769,pedestrian_area_1080p25_short.y4m,42.46,111748.0
900,riverbed_1080p25_short.y4m,7.87,252568.0
2817,sintel_trailer_2k_720p24_short.y4m,3.05,210496.0
3026,sd_city_4cif_short.y4m,1.21,145352.0
191,sd_city_4cif_short.y4m,1.36,150628.0
2640,sd_crew_cif_short.y4m,1.22,12528.0
1229,riverbed_1080p25_short.y4m,5.82,157336.0
1689,pedestrian_area_1080p25_short.y4m,3.32,111880.0
1407,blue_sky_1080p25_short.y4m,2.67,110136.0
2517,Johnny_1280x720_60_short.y4m,20.22,291024.0
1926,sd_bridge_close_cif_short.y4m,0.13,27492.0
545,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,43.5,807980.0
2315,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,4.91,817044.0
2712,pedestrian_area_1080p25_short.y4m,17.17,249288.0
2933,sd_city_4cif_short.y4m,5.16,55580.0
2059,sd_bridge_close_cif_short.y4m,0.97,21688.0
2266,sd_crew_cif_short.y4m,1.33,25120.0
800,riverbed_1080p25_short.y4m,28.19,372224.0
20,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.88,752824.0
371,Johnny_1280x720_60_short.y4m,1.98,193768.0
307,sd_crew_cif_short.y4m,2.87,22732.0
2619,sd_crew_cif_short.y4m,0.18,22520.0
1631,riverbed_1080p25_short.y4m,40.06,247444.0
390,sd_city_4cif_short.y4m,4.9,55460.0
13,pedestrian_area_1080p25_short.y4m,3.42,250772.0
232,sd_bridge_close_cif_short.y4m,0.17,23108.0
2341,riverbed_1080p25_short.y4m,4.53,273368.0
964,riverbed_1080p25_short.y4m,29.16,155480.0
