time,workload,config_id
0.62,psd-small,40
1.49,svg-large,40
1.55,svg-medium,40
0.6,svg-small,40
3.27,jpeg-large,41
1.77,jpeg-medium,41
0.43,jpeg-small,41
2.39,png-large,41
0.66,png-medium,41
0.5,png-small,41
54.54,psd-large,41
1.27,psd-medium,41
0.6,psd-small,41
1.46,svg-large,41
1.55,svg-medium,41
0.51,svg-small,41
3.37,jpeg-large,42
1.74,jpeg-medium,42
0.46,jpeg-small,42
2.42,png-large,42
0.66,png-medium,42
0.47,png-small,42
54.48,psd-large,42
1.28,psd-medium,42
0.55,psd-small,42
1.5,svg-large,42
1.6,svg-medium,42
0.5,svg-small,42
2.83,jpeg-large,43
1.55,jpeg-medium,43
0.44,jpeg-small,43
2.13,png-large,43
0.62,png-medium,43
0.42,png-small,43
23.98,psd-large,43
1.18,psd-medium,43
0.54,psd-small,43
1.5,svg-large,43
1.53,svg-medium,43
0.64,svg-small,43
3.56,jpeg-large,44
1.84,jpeg-medium,44
0.49,jpeg-small,44
2.52,png-large,44
0.67,png-medium,44
0.51,png-small,44
58.61,psd-large,44
1.35,psd-medium,44
0.64,psd-small,44
1.56,svg-large,44
1.67,svg-medium,44
0.52,svg-small,44
2.15,jpeg-large,45
1.18,jpeg-medium,45
0.43,jpeg-small,45
1.75,png-large,45
0.57,png-medium,45
0.41,png-small,45
23.87,psd-large,45
1.1,psd-medium,45
0.54,psd-small,45
1.47,svg-large,45
1.51,svg-medium,45
0.5,svg-small,45
4.76,jpeg-large,46
2.42,jpeg-medium,46
0.43,jpeg-small,46
3.16,png-large,46
0.72,png-medium,46
0.51,png-small,46
55.12,psd-large,46
1.58,psd-medium,46
0.62,psd-small,46
1.46,svg-large,46
1.51,svg-medium,46
0.61,svg-small,46
4.96,jpeg-large,47
2.47,jpeg-medium,47
0.43,jpeg-small,47
3.16,png-large,47
0.74,png-medium,47
0.46,png-small,47
55.05,psd-large,47
1.57,psd-medium,47
0.62,psd-small,47
1.5,svg-large,47
1.58,svg-medium,47
0.61,svg-small,47
7.75,jpeg-large,48
3.62,jpeg-medium,48
0.48,jpeg-small,48
4.73,png-large,48
0.9,png-medium,48
0.53,png-small,48
55.87,psd-large,48
2.04,psd-medium,48
0.69,psd-small,48
1.44,svg-large,48
1.57,svg-medium,48
0.62,svg-small,48
3.61,jpeg-large,49
1.99,jpeg-medium,49
0.46,jpeg-small,49
2.58,png-large,49
0.7,png-medium,49
0.48,png-small,49
54.8,psd-large,49
1.41,psd-medium,49
0.65,psd-small,49
1.59,svg-large,49
1.63,svg-medium,49
0.52,svg-small,49
3.81,jpeg-large,50
1.94,jpeg-medium,50
0.45,jpeg-small,50
2.64,png-large,50
0.69,png-medium,50
0.46,png-small,50
39.59,psd-large,50
1.37,psd-medium,50
0.59,psd-small,50
1.46,svg-large,50
1.52,svg-medium,50
0.63,svg-small,50
3.7,jpeg-large,51
1.97,jpeg-medium,51
0.42,jpeg-small,51
2.44,png-large,51
0.69,png-medium,51
0.44,png-small,51
31.86,psd-large,51
1.22,psd-medium,51
0.59,psd-small,51
1.47,svg-large,51
1.5,svg-medium,51
0.6,svg-small,51
2.43,jpeg-large,52
1.37,jpeg-medium,52
0.42,jpeg-small,52
2.0,png-large,52
0.55,png-medium,52
0.43,png-small,52
31.55,psd-large,52
1.16,psd-medium,52
0.52,psd-small,52
1.48,svg-large,52
1.53,svg-medium,52
0.5,svg-small,52
2.68,jpeg-large,53
1.47,jpeg-medium,53
0.44,jpeg-small,53
2.27,png-large,53
0.65,png-medium,53
0.4,png-small,53
24.18,psd-large,53
1.15,psd-medium,53
0.51,psd-small,53
1.46,svg-large,53
1.46,svg-medium,53
0.59,svg-small,53
3.01,jpeg-large,54
1.66,jpeg-medium,54
0.43,jpeg-small,54
2.58,png-large,54
0.7,png-medium,54
0.43,png-small,54
31.85,psd-large,54
1.21,psd-medium,54
0.59,psd-small,54
1.5,svg-large,54
1.58,svg-medium,54
0.6,svg-small,54
2.46,jpeg-large,55
1.46,jpeg-medium,55
0.45,jpeg-small,55
1.85,png-large,55
0.59,png-medium,55
0.48,png-small,55
17.46,psd-large,55
1.07,psd-medium,55
0.54,psd-small,55
1.51,svg-large,55
1.5,svg-medium,55
0.58,svg-small,55
3.23,jpeg-large,56
