config_id,workload,time,max-resident-set-size
27,AUFNIRA_z3.637557.smt2,5.91,1601688
27,QF_UF_PEQ018_size6.smt2,4.36,35100
27,QF_UFLIA_xs_23_43.smt2,9.99,43020
27,QF_BV_bench_935.smt2,5.81,124892
27,QF_BV_bench_3176.smt2,3.14,123844
27,QF_RDL_orb08_888.smt2,7.25,42092
28,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.85,35168
28,QF_UFLIA_xs_23_43.smt2,9.98,42760
28,AUFNIRA_z3.637557.smt2,5.91,1600400
28,QF_UF_PEQ018_size6.smt2,4.37,35100
28,LRA_formula_277.smt2,4.13,33964
28,QF_BV_bench_3176.smt2,3.35,139328
28,QF_AUFBV_891_sqlite3.smt2,9.85,56196
28,QF_BV_bench_935.smt2,1.32,124784
28,QF_LIA_tightrhombus,8,45064
28,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.75,34072
28,QF_RDL_orb08_888.smt2,7.21,42120
28,QF_NRA_hong_9.smt2,3.19,36676
29,QF_UFLIA_xs_23_43.smt2,11.76,536028
29,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,16.96,39300
29,AUFNIRA_z3.637557.smt2,8.91,2642344
29,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,5,308952
29,QF_UF_PEQ018_size6.smt2,20.29,1096416
29,QF_BV_bench_935.smt2,1.62,486636
29,QF_BV_bench_3176.smt2,3.71,292528
29,QF_AUFBV_891_sqlite3.smt2,11.81,68352
29,LRA_formula_277.smt2,2.65,34320
29,QF_RDL_orb08_888.smt2,6.73,68988
29,QF_NRA_hong_9.smt2,5.67,39908
29,QF_LIA_tightrhombus,4.59,36016
30,QF_AUFBV_891_sqlite3.smt2,9.78,55820
30,QF_LIA_tightrhombus,8,45332
30,QF_NRA_hong_9.smt2,3.19,36676
30,QF_RDL_orb08_888.smt2,7.29,42120
30,QF_BV_bench_935.smt2,1.3,124728
30,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.85,35172
30,QF_UFLIA_xs_23_43.smt2,10.04,42768
30,AUFNIRA_z3.637557.smt2,5.91,1601676
30,QF_UF_PEQ018_size6.smt2,4.37,35104
30,LRA_formula_277.smt2,4.13,33968
30,QF_BV_bench_3176.smt2,3.27,123564
30,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.75,34072
31,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.84,35168
31,LRA_formula_277.smt2,4.13,33964
31,QF_RDL_orb08_888.smt2,7.27,42136
31,QF_BV_bench_935.smt2,1.3,124656
31,QF_BV_bench_3176.smt2,3.29,123576
31,QF_NRA_hong_9.smt2,3.19,36676
31,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.76,34072
31,QF_LIA_tightrhombus,8,45324
31,QF_UFLIA_xs_23_43.smt2,10.01,42756
31,QF_AUFBV_891_sqlite3.smt2,9.89,55812
31,QF_UF_PEQ018_size6.smt2,4.33,35100
31,AUFNIRA_z3.637557.smt2,5.96,1599608
32,LRA_formula_277.smt2,4.16,33988
32,AUFNIRA_z3.637557.smt2,9.65,1599872
32,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,9.72,35240
32,QF_BV_bench_3176.smt2,4.19,123544
32,QF_UFLIA_xs_23_43.smt2,18.67,43156
32,QF_AUFBV_891_sqlite3.smt2,52.26,53860
32,QF_BV_bench_935.smt2,1.83,124840
32,QF_NRA_hong_9.smt2,3.19,36696
32,QF_UF_PEQ018_size6.smt2,14.24,35380
32,QF_LIA_tightrhombus,8.21,45068
32,QF_RDL_orb08_888.smt2,8.36,42116
32,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.92,33996
33,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.75,34072
33,QF_UF_PEQ018_size6.smt2,4.3,35100
33,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.84,35168
